date,clothing,coffee,cosmetics,dessert,education,food,fuel,health,market & shopping,money_transfer,other,subscriptions,transportation,travel,total_spent,log_total_spent,phase,weekday,is_weekend
2024-08-25,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,6.90875477931522,Follicular,6,1
2024-08-26,0.0,0.0,0.0,0.0,0.0,443.7,0.0,0.0,0.0,0.0,0.0,59.99,0.0,0.0,503.69,6.223944379399179,Follicular,0,0
2024-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0799999999999,0.0,0.0,3759.99,4672.07,8.44957152225868,Follicular,1,0
2024-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,1500.0,7.313886831633462,Follicular,2,0
2024-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,0.0,0.0,0.0,910.0,6.814542897259958,Follicular,5,1
2024-09-02,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.45,0.0,0.0,0.0,527.45,6.269948193455356,Follicular,0,0
2024-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825000.0,0.0,0.0,0.0,825000.0,13.623139877437296,Ovulation,1,0
2024-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.8,0.0,20.0,0.0,0.0,0.0,1098.8,7.002883624073714,Ovulation,2,0
2024-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600110.8,0.0,0.0,0.0,0.0,600110.8,13.304871250173717,Luteal,3,0
2024-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,19.5,3.0204248861443626,Luteal,1,0
2024-09-11,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,20.0,0.0,665.0,6.501289670540389,Luteal,2,0
2024-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98008.86,0.0,0.0,0.0,0.0,98008.86,11.492823364836534,Luteal,3,0
2024-09-13,0.0,75.0,0.0,0.0,0.0,561.24,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,656.24,6.48804924858363,Luteal,4,0
2024-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.8600000000001,818.9100000000001,0.0,0.0,0.0,2017.7700000000002,7.610243694042635,Luteal,5,1
2024-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,220.0,5.3981627015177525,Luteal,6,1
2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,15000.0,0.0,0.0,0.0,0.0,15007.5,9.616371986256087,Luteal,0,0
2024-09-18,0.0,0.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,7.208600337960199,Luteal,2,0
2024-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,0.0,0.0,0.0,1660.0,0.0,1669.75,7.4210279063911795,Luteal,5,1
2024-09-22,0.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,7.280008252884188,Luteal,6,1
